Station Name,Datetime,Wind_Dir_Deg,Wind_Max_mph,Air_Temp_Avg
Briones,2021-05-01 18:00:00,221,22.0,53.0
Briones,2021-05-01 19:00:00,222,19.0,51.0
Briones,2021-05-01 20:00:00,226,23.0,52.0
Briones,2021-05-01 21:00:00,225,21.0,50.0
Briones,2021-05-01 22:00:00,226,21.0,50.0
Briones,2021-05-01 23:00:00,229,22.0,50.0
Briones,2021-05-01 00:00:00,225,19.0,49.0
Las Trampas,2021-05-08 01:00:00,329,14.0,54.0
Las Trampas,2021-05-08 02:00:00,15,16.0,55.0
Las Trampas,2021-05-08 03:00:00,15,22.0,57.0
Las Trampas,2021-05-08 04:00:00,17,24.0,56.0
Las Trampas,2021-05-08 05:00:00,21,22.0,56.0
Las Trampas,2021-05-08 06:00:00,30,19.0,60.0
Las Trampas,2021-05-08 07:00:00,29,19.0,62.0
Las Trampas,2021-05-08 08:00:00,25,22.0,64.0
Las Trampas,2021-05-08 09:00:00,37,22.0,68.0
Las Trampas,2021-05-08 10:00:00,31,21.0,71.0
Las Trampas,2021-05-08 11:00:00,36,25.0,75.0
Las Trampas,2021-05-08 12:00:00,33,23.0,77.0
Las Trampas,2021-05-08 13:00:00,31,22.0,78.0
Las Trampas,2021-05-08 14:00:00,42,18.0,80.0
Las Trampas,2021-05-08 15:00:00,22,24.0,81.0
Las Trampas,2021-05-08 16:00:00,340,27.0,82.0
Las Trampas,2021-05-08 17:00:00,316,29.0,78.0
Las Trampas,2021-05-08 18:00:00,290,15.0,73.0
Las Trampas,2021-05-08 19:00:00,309,21.0,70.0
Las Trampas,2021-05-08 20:00:00,300,18.0,67.0
Las Trampas,2021-05-08 21:00:00,312,19.0,65.0
Las Trampas,2021-05-08 22:00:00,339,20.0,64.0
Las Trampas,2021-05-08 23:00:00,315,18.0,63.0
Las Trampas,2021-05-08 00:00:00,318,17.0,60.0
Las Trampas,2021-05-07 01:00:00,238,24.0,48.0
Las Trampas,2021-05-07 02:00:00,231,22.0,46.0
Las Trampas,2021-05-07 03:00:00,253,20.0,46.0
Las Trampas,2021-05-07 04:00:00,237,19.0,44.0
Las Trampas,2021-05-07 05:00:00,233,21.0,45.0
Las Trampas,2021-05-07 06:00:00,271,16.0,50.0
Las Trampas,2021-05-07 07:00:00,226,11.0,51.0
Las Trampas,2021-05-07 08:00:00,239,10.0,56.0
Las Trampas,2021-05-07 09:00:00,238,13.0,59.0
Las Trampas,2021-05-07 10:00:00,266,13.0,64.0
Las Trampas,2021-05-07 11:00:00,244,11.0,69.0
Las Trampas,2021-05-07 12:00:00,247,14.0,72.0
Las Trampas,2021-05-07 13:00:00,241,17.0,73.0
Las Trampas,2021-05-07 14:00:00,241,19.0,71.0
Las Trampas,2021-05-07 15:00:00,248,21.0,71.0
Las Trampas,2021-05-07 16:00:00,249,20.0,69.0
Las Trampas,2021-05-07 17:00:00,243,19.0,65.0
Las Trampas,2021-05-07 18:00:00,240,16.0,61.0
Las Trampas,2021-05-07 19:00:00,249,13.0,57.0
Las Trampas,2021-05-07 20:00:00,258,12.0,58.0
Las Trampas,2021-05-07 21:00:00,300,12.0,57.0
Las Trampas,2021-05-07 22:00:00,298,15.0,56.0
Las Trampas,2021-05-07 23:00:00,6,16.0,56.0
Las Trampas,2021-05-07 00:00:00,317,20.0,56.0
Las Trampas,2021-05-06 01:00:00,250,22.0,50.0
